"sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.location","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"MT454650","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11922,"09-Jul-20","09-Jul-20","Otocyon megalotis",NA,"477/17"
"MT454646","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11922,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"454/17"
"MT454647","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11922,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"460/17"
"MT454651","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11922,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"480/17"
"MT454643","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11922,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"269/17"
"KR906762","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11914,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2813.1"
"KY210221","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11912,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv2485"
"MN726802","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2016,2016,2016,11552,"25-Dec-19","25-Dec-19",NA,NA,"RAB16033"
"MT454632","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2015,2015,2015,11902,"09-Jul-20","09-Jul-20","Proteles cristata",NA,"155/15"
"MN726809","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2016,2016,2016,11545,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"PM015"
"MN726814","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","KEN","Kenya",NA,"Kenya: -",2018,2018,2018,11846,"25-Dec-19","25-Dec-19","feline",NA,"M009_field"
"LT909528","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: ",2009,NA,2018,11923,"29-Jan-18","29-Jan-18","jackal",NA,"20520"
"KT336437","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2012,2012,2012,11923,"19-Aug-15","13-Oct-15","Canis lupus familiaris",26430028,"34312"
"KX148103","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",1981,1981,1981,11922,"28-Nov-16","28-Nov-16","Homo sapiens",NA,"87021AFS"
"MK467494","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2015,2015,2015,592,"09-Mar-20","09-Mar-20","Proteles cristata",NA,"360-15"
"MK467519","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,592,"09-Mar-20","09-Mar-20","Otocyon megalotis",NA,"273-17"
"MT454642","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2016,2016,2016,11923,"09-Jul-20","09-Jul-20","Proteles cristata",NA,"725/16"
"JX473838","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","NAM","Namibia","Kunene, Etosha National Park","Namibia: Kunene, Etosha National Park",2009,2009,2009,11923,"21-Oct-12","21-Oct-12","jackal",NA,"178J09"
"JX473839","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","NAM","Namibia","Kunene, Etosha National Park","Namibia: Kunene, Etosha National Park",2009,2009,2009,11923,"21-Oct-12","21-Oct-12","jackal",NA,"192J09"
"JX473841","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","NAM","Namibia","Otjozondjupa, Grootfontein","Namibia: Otjozondjupa, Grootfontein",2009,2009,2009,11923,"21-Oct-12","21-Oct-12","Tragelaphus strepsiceros (Namibian kudu)",NA,"240K09"
"RAB12001_18-05-2012_Pemba","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: Pemba Island",2012,2012,2012,11643,NA,NA,NA,NA,"Rab12001"
"MN726807","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: -",2017,2017,2017,11462,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"PM024"
"MN726813","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba Island","Tanzania: -",2017,2017,2017,10357,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"PM025"
"AB572962","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt province","Zambia: Copperbelt province",2008,2008,2008,609,"25-Jan-11","17-Feb-12","Bos taurus",21930165,"01_08_zambia_cattle_2008"
"AB572969","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2005,2005,2005,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"153_05_zambia_dog_2005"
"AB572970","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"143_01_zambia_dog_2001"
"AB572971","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2004,2004,2004,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"117_04_zambia_dog_2004"
"AB572972","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2002,2002,2002,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"66_02_zambia_dog_2002"
"AB572973","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"345_99_zambia_dog_1999"
"AB572974","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"163_01_zambia_dog_2001"
"AB572975","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2000,2000,2000,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"14_00_zambia_dog_2000"
"AB572976","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"66_01_zambia_dog_2001"
"AB572977","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"24_99_zambia_dog_1999"
"AB572982","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2000,2000,2000,609,"25-Jan-11","17-Feb-12","Bos taurus",21930165,"140_00_zambia_cattle_2000"
"AB572983","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"50_01_zambia_dog_2001"
"AB572984","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2009,2009,2009,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"57_09_zambia_dog_2009"
"AB572989","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"358_99_zambia_dog_1999"
"AB572990","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"303_99_zambia_dog_1999"
"AB572991","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2008,2008,2008,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"Pr3024_08_zambia_dog_2008"
"AB572995","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1998,1998,1998,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"34_98_zambia_dog_1998"
"LC380169","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Chibombo","Zambia: Central, Chibombo",2013,2013,2013,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"2_DOG_CP_2013"
"LC380174","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Serenje","Zambia: Central, Serenje",2005,2005,2005,609,"10-Aug-19","10-Aug-19","Bos taurus",31267444,"47_COW_CP_2005"
"LC380175","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Kabwe","Zambia: Central, Kabwe",2006,2006,2006,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"48_DOG_CP_2006"
"AB572994","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"T163_99_zambia_dog_1999"
"AB572964","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"97_01_zambia_dog_2001"
"AB572965","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"192_01_zambia_dog_2001"
"AB572966","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central province","Zambia: Central province",2001,2001,2001,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"149_01_zambia_dog_2001"
"LC380170","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Shibuyunji","Zambia: Central, Shibuyunji",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Felis catus",31267444,"18_CAT_CP_2014"
"AB572967","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2009,2009,2009,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"59_09_zambia_dog_2009"
"AB572968","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"39_99_zambia_dog_1999"
"AB572996","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2007,2007,2007,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"14_07_zambia_dog_2007"
"LC380171","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Mumbwa","Zambia: Central, Mumbwa",2013,2013,2013,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"33_DOG_CP_2013"
"LC380194","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Luapula, Samfya","Zambia: Luapula, Samfya",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"72_DOG_LP_2014"
"AB572963","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt province","Zambia: Copperbelt province",2008,2008,2008,609,"25-Jan-11","17-Feb-12","Bos taurus",21930165,"02_08_zambia_cattle_2008"
"AB572986","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2002,2002,2002,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"52_02_zambia_dog_2002"
"AB572987","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2003,2003,2003,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"167_03_zambia_dog_2003"
"LC380166","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt, Kalulushi","Zambia: Copperbelt, Kalulushi",2015,2015,2015,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"C1_DOG_CBP_2015"
"LC380167","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt, Mufulira","Zambia: Copperbelt, Mufulira",2015,2015,2015,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"C22_DOG_CBP_2015"
"AB572978","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2006,2006,2006,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"109_06_zambia_dog_2006"
"AB572979","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2006,2006,2006,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"126_06_zambia_dog_2006"
"AB572980","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2007,2007,2007,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"73_07_zambia_dog_2007"
"AB572981","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central province","Zambia: Central province",1999,1999,1999,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"T159_99_zambia_dog_1999"
"AB572985","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2009,2009,2009,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"55_09_zambia_dog_2009"
"AB572992","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2004,2004,2004,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"70_04_zambia_dog_2004"
"AB572993","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka province","Zambia: Lusaka province",2003,2003,2003,609,"25-Jan-11","17-Feb-12","Canis lupus familiaris",21930165,"65_03_zambia_dog_2003"
"LC380205","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","North-Western, Mwinilunga","Zambia: North-Western, Mwinilunga",2013,2013,2013,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"20_DOG_NWP_2013"
"LC380208","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Southern, Mazabuka","Zambia: Southern, Mazabuka",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"5_DOG_SP_2014"
"LC380209","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Southern, Mazabuka","Zambia: Southern, Mazabuka",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"22_DOG_SP_2014"
"LC380210","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Southern, Chirundu","Zambia: Southern, Chirundu",2013,2013,2013,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"23_DOG_SP_2013"
"LC380213","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Southern, Namwala","Zambia: Southern, Namwala",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"62_DOG_SP_2014"
"LC380176","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Central, Mkushi","Zambia: Central, Mkushi",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"61_DOG_CP_2014"
"LC380164","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt, Ndola","Zambia: Copperbelt, Ndola",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"63_DOG_CBP_2014"
"LC380211","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Southern, Monze","Zambia: Southern, Monze",2000,2000,2000,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"36_DOG_SP_2000"
"LC380198","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Lusaka, Lusaka","Zambia: Lusaka, Lusaka",2015,2015,2015,609,"10-Aug-19","10-Aug-19","Bos taurus",31267444,"43_COW_LSK_2015"
"KT119776","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","COD","Democratic Republic of the Congo","Kinshasa","Democratic Republic of the Congo: Kinshasa",1989,1989,1989,5051,"30-Jan-16","30-Jan-16","Canis familiaris",NA,"8915ZAI_1989_247"
"LC380168","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Copperbelt, Ndola","Zambia: Copperbelt, Ndola",2015,2015,2015,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"C29_DOG_CBP_2015"
"LC380204","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Northern, Kasama","Zambia: Northern, Kasama",2015,2015,2015,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"C14_DOG_NP_2015"
"MN726823","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2017,2017,2017,11341,"25-Dec-19","25-Dec-19",NA,NA,"SD706"
"KU739040","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","BWA","Botswana",NA,"Botswana: -",2009,2009,2009,1575,"05-Mar-16","05-Mar-16","Canis familiaris",NA,"G_3580BOT-2009"
"LC380232","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Matebele South, Filabusi","Zimbabwe: Matebele South, Filabusi",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"80_DOG_MATEBELES_2014"
"LC380233","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Matebele South, Filabusi","Zimbabwe: Matebele South, Filabusi",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"89_DOG_MATEBELES_2014"
"LC380235","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Matebele South, Filabusi","Zimbabwe: Matebele South, Filabusi",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"91_DOG_MATEBELES_2014"
"LC380226","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Mashona East, Marondera","Zimbabwe: Mashona East, Marondera",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"87_DOG_MASHONAE_2014"
"LC380234","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Matebele South, Filabusi","Zimbabwe: Matebele South, Filabusi",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"90_DOG_MATEBELES_2014"
"KY563716","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe",NA,"Zimbabwe: -",1994,1994,1994,1575,"30-Jun-17","30-Jun-17","Civettictis civetta",NA,"22759"
"LC380222","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Mashona East, Harare","Zimbabwe: Mashona East, Harare",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"86_DOG_MASHONAE_2014"
"LC380228","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Mashona Central, Bindura","Zimbabwe: Mashona Central, Bindura",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"74_DOG_MASHONAC_2014"
"LC380223","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Manica, Rusape","Zimbabwe: Manica, Rusape",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Bos taurus",31267444,"77_COW_MANICA_2014"
"LC380224","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Manica, Rusape","Zimbabwe: Manica, Rusape",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"82_DOG_MANICA_2014"
"LC380220","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Mashona East, Acturus","Zambia: Mashona East, Acturus",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"81_DOG_MASHONAE_2014"
"KY563715","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe",NA,"Zimbabwe: -",1994,1994,1994,1575,"30-Jun-17","30-Jun-17","Canis familiaris",NA,"22547"
"LC380221","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Mashona East, Harare","Zimbabwe: Mashona East, Harare",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"85_DOG_MASHONAE_2014"
"LC380225","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Manica, Rusape","Zimbabwe: Manica, Rusape",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"83_DOG_MANICA_2014"
"LC380227","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Mashona Central, Glendale","Zimbabwe: Mashona Central, Glendale",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Capra hircus",31267444,"73_GOAT_MASHONAC_2014"
"LC380230","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe","Matebele Central, Glendale","Zimbabwe: Matebele Central, Glendale",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"92_DOG_MATEBELEC_2014"
"AY062046","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",NA,NA,2002,414,"30-Mar-02","15-Nov-02",NA,12417947,NA
"HQ266618","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2004,2004,2004,1575,"31-Dec-12","10-Jun-13","Canis familiaris",23718883,"567/04"
"HQ266619","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2005,2005,2005,1575,"31-Dec-12","10-Jun-13","Otocyon megalotis",23718883,"31-May"
"DQ900573","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Musoma","Tanzania: Musoma",1997,1997,1997,398,"19-Jun-07","14-Jul-16","Canis familiaris",17609187,"RV758"
"MN726828","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2017,2017,2017,11127,"25-Dec-19","25-Dec-19","Capra hircus",NA,"PM019"
"MN726834","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2017,2017,2017,10835,"25-Dec-19","25-Dec-19","Canis lupus familiaris",NA,"SD681"
"DQ900579","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Bariadi","Tanzania: Bariadi",2003,2003,2003,398,"19-Jun-07","14-Jul-16","small-spotted genet",17609187,"A04-4981"
"DQ900578","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti National Park","Tanzania: Serengeti National Park",1999,1999,1999,398,"19-Jun-07","14-Jul-16","Canis lupus",17609187,"311"
"MN726821","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","KEN","Kenya",NA,"Kenya: -",2018,2018,2018,11598,"25-Dec-19","25-Dec-19","Bos taurus",NA,"B397_field"
"MW055046","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","KEN","Kenya","Kericho","Kenya: Kericho",2018,2018,2018,1575,"22-Nov-20","22-Nov-20","Bos taurus",33158200,"B397/18"
"MW055048","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","KEN","Kenya","Makueni","Kenya: Makueni",2018,2018,2018,1575,"22-Nov-20","22-Nov-20","Bos taurus",33158200,"2011100176"
"HQ266621","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",1996,1996,1996,1575,"31-Dec-12","10-Jun-13","Canis familiaris",23718883,"479/96"
"KY553279","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe",NA,"Zimbabwe: -",1992,1992,1992,1575,"23-Jan-18","23-Jan-18","mongoose",NA,"20607G"
"KY553280","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe",NA,"Zimbabwe: -",1990,1990,1990,1575,"23-Jan-18","23-Jan-18","Civettictis civetta",NA,"RV332G"
"KY553282","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZWE","Zimbabwe",NA,"Zimbabwe: -",1991,1991,1991,1575,"23-Jan-18","23-Jan-18","Mellivora capensis",NA,"RV589G"
"HQ266622","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2005,2005,2005,1575,"31-Dec-12","10-Jun-13","black-backed jackal",23718883,"819/05"
"KY553274","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2005,2005,2005,1575,"23-Jan-18","23-Jan-18","Civettictis civetta",NA,"150_05G"
"KY553277","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",1997,1997,1997,1575,"23-Jan-18","23-Jan-18","Civettictis civetta",NA,"955_97G"
"KY553281","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",1991,1991,1991,1575,"23-Jan-18","23-Jan-18","Civettictis civetta",NA,"RV511G"
"KY553283","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",1996,1996,1996,1575,"23-Jan-18","23-Jan-18","Civettictis civetta",NA,"553_96G"
