"District","Shehia","subvillage","vacc_date","dogs_vaccinated","Cats_vaccinated","total_dog_estimate","DW"
"Mkoani","Kendwa","Mikanduni","15/01/2014",7,0,NA,"Mkoani_Kendwa"
"Mkoani","Mjimbini","Mjimbini","11/12/2013",24,3,NA,"Mkoani_Mjimbini"
"Mkoani","Mtangani","Mtangani","11/11/2013",7,0,NA,"Mkoani_Mtangani"
"Mkoani","Muambe","Muambe","11/11/2013",8,0,NA,"Mkoani_Muambe"
"Mkoani","Muambe","Mwambe","16/01/2014",3,0,NA,"Mkoani_Muambe"
"Mkoani","Ukutini","Ndaani","15/01/2014",2,0,NA,"Mkoani_Ukutini"
"Mkoani","Mkanyageni","Ngomani","15/01/2014",22,0,NA,"Mkoani_Mkanyageni"
"Mkoani","Ng'ombeni","Ng'ombeni","11/12/2013",21,0,NA,"Mkoani_Ng'ombeni"
"Mkoani","Ngwachani","Ngwachani","11/11/2013",18,1,NA,"Mkoani_Ngwachani"
"Mkoani","Mtambile","Pondeani","11/11/2013",13,2,NA,"Mkoani_Mtambile"
"Mkoani","Shidi","Shidi","11/12/2013",3,0,NA,"Mkoani_Shidi"
"Mkoani","Mizingani","Skuli","15/01/2014",5,0,NA,"Mkoani_Mizingani"
"Mkoani","Michenzani","Takao","11/12/2013",6,0,NA,"Mkoani_Michenzani"
"Mkoani","Ukutini","Ukutini","11/11/2013",23,2,NA,"Mkoani_Ukutini"
"Mkoani","Uweleni","Uweleni","11/12/2013",9,0,NA,"Mkoani_Uweleni"
"Wete","Limbani","Angola","27/01/2014",19,0,NA,"Wete_Limbani"
"Wete","Bopwe","Bopwe","13/11/2013",17,0,NA,"Wete_Bopwe"
"Wete","Piki","Bwagamoyo","13/11/2013",13,0,NA,"Wete_Piki"
"Wete","Junguni","Chanje","29/01/2014",21,0,NA,"Wete_Junguni"
"Wete","Limbani","Chasasa","14/11/2013",33,0,NA,"Wete_Limbani"
"Wete","Junguni","Chozi","15/11/2013",33,0,NA,"Wete_Junguni"
"Wete","Mtambwe Kusini","Daya","28/01/2014",24,0,NA,"Wete_Mtambwe Kusini"
"Wete","Gando","Gando","13/11/2013",21,3,NA,"Wete_Gando"
"Wete","Kinyikani","Hindi","28/01/2014",14,1,NA,"Wete_Kinyikani"
"Wete","Jadida","Jadida","28/01/2014",20,0,NA,"Wete_Jadida"
"Wete","Mtambwe Kaskazini","Jambaji","14/11/2013",56,0,NA,"Wete_Mtambwe Kaskazini"
"Wete","Kambini","Kambini","14/11/2013",10,0,NA,"Wete_Kambini"
"Wete","Kangagani","Kangagani","14/11/2013",4,0,NA,"Wete_Kangagani"
"Wete","Ole","Kianga","27/01/2014",9,0,NA,"Wete_Ole"
"Wete","Kisiwani","Kisiwani","13/11/2013",31,0,NA,"Wete_Kisiwani"
"Wete","Mtambwe Kusini","Kinazini","13/11/2013",17,0,NA,"Wete_Mtambwe Kusini"
"Wete","Kinyikani","Kinyikani","13/11/2013",19,0,NA,"Wete_Kinyikani"
"Wete","Kipangani","Kipangani","13/11/2013",2,0,NA,"Wete_Kipangani"
"Wete","Kiungoni","Kiungoni","14/11/2013",21,0,NA,"Wete_Kiungoni"
"Wete","Kizimbani","Kizimbani","13/11/2013",4,0,NA,"Wete_Kizimbani"
"Wete","Selem","Laini","13/11/2013",7,0,NA,"Wete_Selem"
"Wete","Kiuyu Kigongoni","Maambani","27/01/2014",4,0,NA,"Wete_Kiuyu Kigongoni"
"Wete","Mzambarauni Takao","Machengwe","14/11/2013",33,0,NA,"Wete_Mzambarauni Takao"
"Wete","Pandani","Masipa","27/01/2014",7,0,NA,"Wete_Pandani"
"Wete","Piki","Matuuni","28/01/2014",8,0,NA,"Wete_Piki"
"Wete","Maziwani","Maziwani","14/11/2013",2,0,NA,"Wete_Maziwani"
"Wete","Mjini Ole","Mjini Ole","14/11/2013",5,0,NA,"Wete_Mjini Ole"
"Wete","Chwale","Mwane","14/11/2013",10,0,NA,"Wete_Chwale"
"Wete","Ole","Ole","14/11/2013",27,1,NA,"Wete_Ole"
"Wete","Pandani","Pandani","14/11/2013",25,1,NA,"Wete_Pandani"
"Wete","Ukunjwi","Ukunjwi","13/11/2013",35,0,NA,"Wete_Ukunjwi"
"Micheweni","Finya","Bahrani","15/11/2013",29,2,NA,"Micheweni_Finya"
"Micheweni","Kifundi","Bule","4/2/2014",46,1,NA,"Micheweni_Kifundi"
"Micheweni","Msuka Magharibi","Chanjaani","14/11/2013",10,1,NA,"Micheweni_Msuka Magharibi"
"Micheweni","Kinowe","Chanjaani","14/11/2013",6,1,NA,"Micheweni_Kinowe"
"Micheweni","Shumba Viamboni","Chimba","15/11/2013",14,5,NA,"Micheweni_Shumba Viamboni"
"Micheweni","Chimba","Chimba","5/2/2014",1,7,NA,"Micheweni_Chimba"
"Micheweni","Wingwi Mapofu","Chonja","3/2/2014",24,2,NA,"Micheweni_Wingwi Mapofu"
"Micheweni","Chimba","Fadha","14/11/2013",13,2,NA,"Micheweni_Chimba"
"Micheweni","Makangale","Jiwe moja","14/11/2013",59,0,NA,"Micheweni_Makangale"
"Micheweni","Konde","K/Manda","14/11/2013",7,0,NA,"Micheweni_Konde"
"Micheweni","Maziwa Ng'ombe","Kibendera","4/2/2014",21,0,NA,"Micheweni_Maziwa Ng'ombe"
"Micheweni","Msuka Mashariki","Kichaka","14/11/2013",10,1,NA,"Micheweni_Msuka Mashariki"
"Micheweni","Mtemani","Kidodo","14/11/2013",4,0,NA,"Micheweni_Mtemani"
"Micheweni","Sizini","Kijichame","15/11/2013",10,1,NA,"Micheweni_Sizini"
"Micheweni","Kinyasini","Kinyasini","15/11/2013",12,2,NA,"Micheweni_Kinyasini"
"Micheweni","Kifundi","Kipangani","14/11/2013",40,5,NA,"Micheweni_Kifundi"
"Micheweni","Kiuyu Mbuyuni","Kiuyu","5/2/2014",5,0,NA,"Micheweni_Kiuyu Mbuyuni"
"Micheweni","Tumbe Mashariki","Mashariki","15/11/2013",21,0,NA,"Micheweni_Tumbe Mashariki"
"Micheweni","Mgogoni","Mgogni","14/11/2013",15,4,NA,"Micheweni_Mgogoni"
"Micheweni","Tondooni","Mkiang'ombe","3/2/2014",23,1,NA,"Micheweni_Tondooni"
"Micheweni","Msuka Mashariki","Msuka","4/2/2014",11,0,NA,"Micheweni_Msuka Mashariki"
"Micheweni","Msuka Magharibi","Msuka","4/2/2014",12,0,NA,"Micheweni_Msuka Magharibi"
"Micheweni","Wingwi Mapofu","Ruwi Kinazini","14/11/2013",15,0,NA,"Micheweni_Wingwi Mapofu"
"Micheweni","Shumba Viamboni","Shumba","4/2/2014",6,0,NA,"Micheweni_Shumba Viamboni"
"Micheweni","Tondooni","Tondooni","14/11/2013",13,2,NA,"Micheweni_Tondooni"
"Micheweni","Tumbe Magharibi","Tumbe","15/11/2013",17,0,NA,"Micheweni_Tumbe Magharibi"
"Wete","Bopwe","","24/06/2012",8,4,NA,"Wete_Bopwe"
"Wete","Jadida","","24/06/2012",24,1,NA,"Wete_Jadida"
"Wete","Junguni","","23/06/2012",7,0,NA,"Wete_Junguni"
"Wete","Kisiwani","","25/06/2012",18,4,NA,"Wete_Kisiwani"
"Wete","Kiungoni","","25/06/2012",1,0,21,"Wete_Kiungoni"
"Wete","Kizimbani","","30/06/2012",12,3,NA,"Wete_Kizimbani"
"Wete","Limbani","","24/06/2012",8,0,44,"Wete_Limbani"
"Wete","Maziwani","","2/7/2012",7,0,7,"Wete_Maziwani"
"Wete","Mtambwe Kusini","","30/06/2012",97,30,NA,"Wete_Mtambwe Kusini"
"Wete","Mzambarauni Takao","","25/06/2012",10,1,NA,"Wete_Mzambarauni Takao"
"Wete","Piki","","25/06/2012",12,3,NA,"Wete_Piki"
"Wete","Selem","","30/06/2012",5,0,NA,"Wete_Selem"
"Wete","Shengejuu","","25/06/2012",2,0,21,"Wete_Shengejuu"
"Wete","Ukunjwi","","23/06/2012",34,5,88,"Wete_Ukunjwi"
"Micheweni","Kifundi","","25/06/2012",60,14,77,"Micheweni_Kifundi"
"Micheweni","Kinyasini","","27/06/2012",15,3,56,"Micheweni_Kinyasini"
"Micheweni","Kiuyu Mbuyuni","","7/7/2012",7,0,44,"Micheweni_Kiuyu Mbuyuni"
"Micheweni","Makangale","","24/06/2012",47,2,106,"Micheweni_Makangale"
"Micheweni","Mgogoni","","30/06/2012",35,4,79,"Micheweni_Mgogoni"
"Micheweni","Micheweni","","7/7/2012",7,0,30,"Micheweni_Micheweni"
"Micheweni","Msuka Magharibi","","21/06/2012",19,7,44,"Micheweni_Msuka Magharibi"
"Micheweni","Msuka Mashariki","","21/06/2012",28,3,66,"Micheweni_Msuka Mashariki"
"Micheweni","Shumba Viamboni","","1/7/2012",20,5,48,"Micheweni_Shumba Viamboni"
"Micheweni","Sizini","","2/7/2012",9,0,27,"Micheweni_Sizini"
"Micheweni","Tondooni","","23/06/2012",52,2,68,"Micheweni_Tondooni"
"Micheweni","Tumbe Magharibi","","2/7/2012",14,0,21,"Micheweni_Tumbe Magharibi"
"Micheweni","Tumbe Mashariki","","2/7/2012",4,0,25,"Micheweni_Tumbe Mashariki"
"Micheweni","Wingwi Njuguni","","1/7/2012",9,0,26,"Micheweni_Wingwi Njuguni"
"Micheweni","Wingwi Mapofu","","1/7/2012",7,0,22,"Micheweni_Wingwi Mapofu"
"Mkoani","Chambani","","23/06/2012",6,0,70,"Mkoani_Chambani"
"Mkoani","Chokocho","","24/06/2012",10,3,45,"Mkoani_Chokocho"
"Mkoani","Chumbageni","","29/06/2012",9,0,101,"Mkoani_Chumbageni"
"Mkoani","Jombwe","","22/06/2012",1,0,2,"Mkoani_Jombwe"
"Mkoani","Kangani","","24/06/2012",18,1,43,"Mkoani_Kangani"
"Mkoani","Kendwa","","22/06/2012",8,0,32,"Mkoani_Kendwa"
"Mkoani","Kengeja","","2/7/2012",12,0,36,"Mkoani_Kengeja"
"Mkoani","Kiwani","","28/09/2012",3,0,19,"Mkoani_Kiwani"
"Mkoani","Kuukuu","","24/06/2012",16,7,70,"Mkoani_Kuukuu"
"Mkoani","Makombeni","","24/06/2012",5,0,10,"Mkoani_Makombeni"
"Mkoani","Mbuguani","","21/06/2012",9,4,32,"Mkoani_Mbuguani"
"Mkoani","Mbuyuni","","21/06/2012",13,2,46,"Mkoani_Mbuyuni"
"Mkoani","Michenzani","","24/06/2012",1,2,39,"Mkoani_Michenzani"
"Mkoani","Minazini","","1/7/2012",12,0,29,"Mkoani_Minazini"
"Mkoani","Mizingani","","1/7/2012",2,0,13,"Mkoani_Mizingani"
"Mkoani","Mkanyageni","","24/06/2012",5,0,28,"Mkoani_Mkanyageni"
"Mkoani","Mkungu","","28/09/2012",13,0,36,"Mkoani_Mkungu"
"Mkoani","Mtambile","","1/7/2012",21,1,29,"Mkoani_Mtambile"
"Mkoani","Mtangani","","28/09/2012",4,0,34,"Mkoani_Mtangani"
"Mkoani","Muambe","","2/7/2012",3,0,22,"Mkoani_Muambe"
"Mkoani","Ngwachani","","1/7/2012",5,0,61,"Mkoani_Ngwachani"
"Mkoani","Ukutini","","23/06/2012",17,0,34,"Mkoani_Ukutini"
"Mkoani","Uweleni","","24/06/2012",2,1,23,"Mkoani_Uweleni"
"Mkoani","Wambaa","","21/06/2012",15,0,36,"Mkoani_Wambaa"
"Chake Chake","Chonga","","24/06/2012",19,0,51,"Chake Chake_Chonga"
"Chake Chake","Mvumoni","","24/06/2012",11,0,33,"Chake Chake_Mvumoni"
"Chake Chake","Chanjaani","","1/7/2012",13,0,47,"Chake Chake_Chanjaani"
"Chake Chake","Kilindi","","7/7/2012",9,5,46,"Chake Chake_Kilindi"
"Chake Chake","Matale","","25/06/2012",21,0,44,"Chake Chake_Matale"
"Chake Chake","Mbuzini","","2/7/2012",11,0,NA,"Chake Chake_Mbuzini"
"Chake Chake","Mfikiwa","","1/7/2012",10,0,20,"Chake Chake_Mfikiwa"
"Chake Chake","Mgogoni","","24/06/2012",16,0,79,"Chake Chake_Mgogoni"
"Chake Chake","Msingini","","23/06/2012",14,0,5,"Chake Chake_Msingini"
"Chake Chake","Mvumoni","","24/06/2012",13,1,33,"Chake Chake_Mvumoni"
"Chake Chake","Ng'ambwa","","23/06/2012",12,2,63,"Chake Chake_Ng'ambwa"
"Chake Chake","Tibirinzi","","21/06/2012",21,0,38,"Chake Chake_Tibirinzi"
"Chake Chake","Uwandani","","30/06/2012",7,3,16,"Chake Chake_Uwandani"
"Chake Chake","Wara","","21/06/2012",62,0,17,"Chake Chake_Wara"
"Chake Chake","Wawi","","22/06/2012",10,2,44,"Chake Chake_Wawi"
"Chake Chake","Wesha","","30/06/2012",8,0,20,"Chake Chake_Wesha"
"Chake Chake","Ziwani","","23/06/2012",17,2,53,"Chake Chake_Ziwani"
"Mkoani","Chambani","","6/5/2011",1,1,NA,"Mkoani_Chambani"
"Mkoani","Chokocho","","29/04/2011",3,2,NA,"Mkoani_Chokocho"
"Mkoani","Chumbageni","","30/04/2011",4,0,NA,"Mkoani_Chumbageni"
"Mkoani","Jombwe","","6/5/2011",1,0,NA,"Mkoani_Jombwe"
"Mkoani","Kangani","","29/04/2011",3,0,NA,"Mkoani_Kangani"
"Mkoani","Kendwa","","6/5/2011",6,0,NA,"Mkoani_Kendwa"
"Mkoani","Kengeja","","3/5/2011",6,0,NA,"Mkoani_Kengeja"
"Mkoani","Kiwani","","1/5/2011",2,0,NA,"Mkoani_Kiwani"
"Mkoani","Kuukuu","","29/04/2011",3,2,NA,"Mkoani_Kuukuu"
"Mkoani","Makombeni","","29/04/2011",2,0,NA,"Mkoani_Makombeni"
"Mkoani","Mbuyuni","","3/5/2011",6,0,NA,"Mkoani_Mbuyuni"
"Mkoani","Michenzani","","29/04/2011",1,2,NA,"Mkoani_Michenzani"
"Mkoani","Minazini","","30/04/2011",4,0,NA,"Mkoani_Minazini"
"Mkoani","Mizingani","","30/04/2011",2,0,NA,"Mkoani_Mizingani"
"Mkoani","Mkanyageni","","29/04/2011",3,0,NA,"Mkoani_Mkanyageni"
"Mkoani","Mkungu","","2/5/2011",4,0,NA,"Mkoani_Mkungu"
"Mkoani","Mtambile","","30/04/2011",8,1,NA,"Mkoani_Mtambile"
"Mkoani","Mtangani","","1/5/2011",2,0,NA,"Mkoani_Mtangani"
"Mkoani","Muambe","","5/5/2011",3,0,NA,"Mkoani_Muambe"
"Mkoani","Ngwachani","","2/5/2011",2,0,NA,"Mkoani_Ngwachani"
"Mkoani","Ukutini","","6/5/2011",5,0,NA,"Mkoani_Ukutini"
"Mkoani","Uweleni","","29/04/2011",2,1,NA,"Mkoani_Uweleni"
"Mkoani","Wambaa","","3/5/2011",5,0,NA,"Mkoani_Wambaa"
"Chake Chake","Chanjaani","","3/5/2011",9,0,NA,"Chake Chake_Chanjaani"
"Chake Chake","Pujini","","5/5/2011",12,1,NA,"Chake Chake_Pujini"
"Chake Chake","Tibirinzi","","5/5/2011",14,0,NA,"Chake Chake_Tibirinzi"
"Chake Chake","Wara","","30/04/2011",26,6,NA,"Chake Chake_Wara"
"Chake Chake","Wawi","","29/04/2011",74,10,NA,"Chake Chake_Wawi"
"Micheweni","Finya","","29/04/2011",32,8,NA,"Micheweni_Finya"
"Micheweni","Kinyasini","","30/04/2011",12,2,NA,"Micheweni_Kinyasini"
"Micheweni","Kifundi","","2/5/2011",31,6,NA,"Micheweni_Kifundi"
"Micheweni","Makangale","","3/5/2011",29,2,NA,"Micheweni_Makangale"
"Micheweni","Tumbe Mashariki","","4/5/2011",21,0,NA,"Micheweni_Tumbe Mashariki"
"Micheweni","Wingwi Njuguni","","5/5/2011",6,4,NA,"Micheweni_Wingwi Njuguni"
"Wete","Bopwe","","29/04/2011",21,5,NA,"Wete_Bopwe"
"Wete","Gando","","3/5/2011",30,8,NA,"Wete_Gando"
"Wete","Junguni","","4/5/2011",33,4,NA,"Wete_Junguni"
"Wete","Mtambwe Kaskazini","","5/5/2011",118,4,NA,"Wete_Mtambwe Kaskazini"
"Wete","Mtambwe Kusini","","6/5/2011",23,4,NA,"Wete_Mtambwe Kusini"
"Wete","Ukunjwi","","2/5/2011",53,7,NA,"Wete_Ukunjwi"
"Chake Chake","Wawi","Branch","9/12/2014",65,0,NA,"Chake Chake_Wawi"
"Chake Chake","Ndagoni","Buyuni","9/12/2014",10,0,NA,"Chake Chake_Ndagoni"
"Chake Chake","Matale","Ch/Mjawiri","11/12/2014",22,1,NA,"Chake Chake_Matale"
"Chake Chake","Vitongoji","Changawe","12/12/2014",43,0,NA,"Chake Chake_Vitongoji"
"Chake Chake","Mbuzini","Chanjaani","11/12/2014",9,0,NA,"Chake Chake_Mbuzini"
"Chake Chake","Chanjaani","Chanjaani","12/12/2014",70,0,NA,"Chake Chake_Chanjaani"
"Chake Chake","Chonga","Chonga","10/12/2014",11,0,NA,"Chake Chake_Chonga"
"Chake Chake","Mgogoni","Ditia","9/12/2014",24,0,NA,"Chake Chake_Mgogoni"
"Chake Chake","Pujini","Dodo","11/12/2014",17,0,NA,"Chake Chake_Pujini"
"Chake Chake","Ng'ambwa","Dutani","15/12/2014",63,1,NA,"Chake Chake_Ng'ambwa"
"Chake Chake","Mvumoni","Furaha","10/12/2014",46,0,NA,"Chake Chake_Mvumoni"
"Chake Chake","Uwandani","Gongoni","9/12/2014",31,2,NA,"Chake Chake_Uwandani"
"Chake Chake","Kilindi","Goyonawe","12/12/2014",22,0,NA,"Chake Chake_Kilindi"
"Chake Chake","Wesha","Kaole","8/12/2014",6,0,NA,"Chake Chake_Wesha"
"Chake Chake","Kichungwani","Kichungwani","8/12/2014",10,0,NA,"Chake Chake_Kichungwani"
"Chake Chake","Shungi","Kichungwani","8/12/2014",19,2,NA,"Chake Chake_Shungi"
"Chake Chake","Tibirinzi","Kidarajani","8/12/2014",51,0,NA,"Chake Chake_Tibirinzi"
"Chake Chake","Ziwani","M/Kwale","11/12/2014",5,0,NA,"Chake Chake_Ziwani"
"Chake Chake","Wara","Machomane","10/12/2014",16,0,NA,"Chake Chake_Wara"
"Chake Chake","Kibokoni","Makaani","9/12/2014",19,0,NA,"Chake Chake_Kibokoni"
"Chake Chake","Msingini","Mchaeni","8/12/2014",5,0,NA,"Chake Chake_Msingini"
"Chake Chake","Kwale","Miburani","11/12/2014",1,0,NA,"Chake Chake_Kwale"
"Chake Chake","Mkoroshoni","Mkoroshoni","11/12/2014",1,0,NA,"Chake Chake_Mkoroshoni"
"Chake Chake","Wesha","Mshangama","8/12/2014",3,4,NA,"Chake Chake_Wesha"
"Chake Chake","Ziwani","Welezo","11/12/2014",39,0,NA,"Chake Chake_Ziwani"
"Chake Chake","Chanjaani","Chanjaani","23/01/2014",2,0,NA,"Chake Chake_Chanjaani"
"Chake Chake","Chonga","Chonga","20/01/2014",8,0,NA,"Chake Chake_Chonga"
"Chake Chake","Dodo","Dodo","23/01/2014",10,0,NA,"Chake Chake_Dodo"
"Chake Chake","Kichungwani","Kichungwani","23/01/2014",6,0,NA,"Chake Chake_Kichungwani"
"Chake Chake","Madungu","Madungu","23/01/2014",7,0,NA,"Chake Chake_Madungu"
"Chake Chake","Mbuzini","Mbuzini","23/01/2014",25,0,NA,"Chake Chake_Mbuzini"
"Chake Chake","Mfikiwa","Mfikiwa","23/01/2014",4,1,NA,"Chake Chake_Mfikiwa"
"Chake Chake","Mgelema","Mgelema","25/01/2014",7,0,NA,"Chake Chake_Mgelema"
"Chake Chake","Mkoroshoni","Mkoroshoni","21/01/2014",2,0,NA,"Chake Chake_Mkoroshoni"
"Chake Chake","Msingini","Msingini","22/01/2014",6,0,NA,"Chake Chake_Msingini"
"Chake Chake","Wesha","Ndagoni","25/01/2014",6,0,NA,"Chake Chake_Wesha"
"Chake Chake","Uwandani","Uwandani","25/01/2014",9,0,NA,"Chake Chake_Uwandani"
"Chake Chake","Vitongoji","Vitongoji","25/01/2014",19,0,NA,"Chake Chake_Vitongoji"
"Chake Chake","Wara","Wara","22/01/2014",1,0,NA,"Chake Chake_Wara"
"Chake Chake","Wawi","Wawi","21/01/2014",54,1,NA,"Chake Chake_Wawi"
"Chake Chake","Wesha","Wesha","25/01/2014",5,0,NA,"Chake Chake_Wesha"
"Chake Chake","Ziwani","Ziwani","22/01/2014",11,2,NA,"Chake Chake_Ziwani"
"Micheweni","Maziwa Ng'ombe","maziwang'ombe","26/09/2016",11,0,NA,"Micheweni_Maziwa Ng'ombe"
"Micheweni","Chimba","Chimba","27/09/2016",42,18,NA,"Micheweni_Chimba"
"Micheweni","Kifundi","Kifundi","25/09/2016",20,0,NA,"Micheweni_Kifundi"
"Micheweni","Kifundi","Kipangani","25/09/2016",24,1,NA,"Micheweni_Kifundi"
"Micheweni","Kiuyu Mbuyuni","Kiuyu","26/09/2016",12,1,NA,"Micheweni_Kiuyu Mbuyuni"
"Micheweni","Konde","Kipange","25/09/2016",18,2,NA,"Micheweni_Konde"
"Micheweni","Konde","Kiuyu/manda","25/09/2016",30,10,NA,"Micheweni_Konde"
"Micheweni","Konde","Konde","26/09/2016",9,0,NA,"Micheweni_Konde"
"Micheweni","Majenzi","Majenzi","24/09/2016",18,0,NA,"Micheweni_Majenzi"
"Micheweni","Makangale","Makangale","25/09/2016",59,2,NA,"Micheweni_Makangale"
"Micheweni","Wingwi Mapofu","Mapofu","27/09/2016",18,0,NA,"Micheweni_Wingwi Mapofu"
"Micheweni","Wingwi Mapofu","Wingwi","27/09/2016",36,0,NA,"Micheweni_Wingwi Mapofu"
"Micheweni","Micheweni","Micheweni","24/09/2016",27,0,NA,"Micheweni_Micheweni"
"Micheweni","Mihogoni","Mihogoni","24/09/2016",7,2,NA,"Micheweni_Mihogoni"
"Micheweni","Mjini Wingwi","Mjiniwingwi","26/09/2016",7,0,NA,"Micheweni_Mjini Wingwi"
"Micheweni","Msuka Mashariki","Msuka -East","26/09/2016",13,0,NA,"Micheweni_Msuka Mashariki"
"Micheweni","Msuka Magharibi","Msuka -West","27/09/2016",45,1,NA,"Micheweni_Msuka Magharibi"
"Micheweni","Shumba Viamboni","Shumba vyamboni","25/09/2016",47,0,NA,"Micheweni_Shumba Viamboni"
"Micheweni","Sizini","Sizini","24/09/2016",49,4,NA,"Micheweni_Sizini"
"Micheweni","Tondooni","Tondooni","24/09/2016",20,0,NA,"Micheweni_Tondooni"
"Micheweni","Tumbe","Tumbe","26/09/2016",17,0,NA,"Micheweni_Tumbe"
"Wete","Bopwe","Bopwe","21/09/2016",11,0,NA,"Wete_Bopwe"
"Wete","Chwale","Chwale","20/09/2016",4,0,NA,"Wete_Chwale"
"Micheweni","Finya","Finya","20/09/2016",30,0,NA,"Micheweni_Finya"
"Wete","Fundo","Fundo","22/09/2016",39,0,NA,"Wete_Fundo"
"Wete","Fundo","Kimeleani","22/09/2016",9,0,NA,"Wete_Fundo"
"Wete","Fundo","Mpesi ngezi","22/09/2016",4,0,NA,"Wete_Fundo"
"Wete","Gando","Gando","21/09/2016",29,0,NA,"Wete_Gando"
"Wete","Jadida","Bubujiko","22/09/2016",7,0,NA,"Wete_Jadida"
"Wete","Jadida","Jadida","21/09/2016",25,0,NA,"Wete_Jadida"
"Wete","Jadida","Uchozini","28/09/2016",1,0,NA,"Wete_Jadida"
"Wete","Junguni","Junguni","21/09/2016",7,0,NA,"Wete_Junguni"
"Wete","Kiuyu Minungwini","K/minungwini","19/09/2016",6,0,NA,"Wete_Kiuyu Minungwini"
"Wete","Kambini","Kambini","20/09/2016",12,0,NA,"Wete_Kambini"
"Wete","Kangagani","Kangagani","19/09/2016",6,0,NA,"Wete_Kangagani"
"Micheweni","Kinyasini","Kinyasini","22/09/2016",14,0,NA,"Micheweni_Kinyasini"
"Wete","Kinyikani","Kinyikani","20/09/2016",32,0,NA,"Wete_Kinyikani"
"Wete","Kisiwani","Kisiwani","19/09/2016",22,0,NA,"Wete_Kisiwani"
"Wete","Kiungoni","Kiungoni","21/09/2016",20,0,NA,"Wete_Kiungoni"
"Wete","Kiuyu Kigongoni","Kigongoni","19/09/2016",13,0,NA,"Wete_Kiuyu Kigongoni"
"Wete","Kizimbani","Kizimbani","21/09/2016",16,0,NA,"Wete_Kizimbani"
"Wete","Limbani","K/kai","23/09/2016",4,0,NA,"Wete_Limbani"
"Wete","Limbani","Limbani","23/09/2016",33,0,NA,"Wete_Limbani"
"Wete","Limbani","Tungamaa","21/09/2016",15,0,NA,"Wete_Limbani"
"Wete","Maziwani","Mwane","20/09/2016",6,0,NA,"Wete_Maziwani"
"Wete","Mtambwe Kaskazini","Chanjaani","27/09/2016",18,0,NA,"Wete_Mtambwe Kaskazini"
"Wete","Mtambwe Kaskazini","Kiapaka","20/09/2016",13,0,NA,"Wete_Mtambwe Kaskazini"
"Wete","Mtambwe Kaskazini","Uondwe","20/09/2016",74,0,NA,"Wete_Mtambwe Kaskazini"
"Wete","Mtambwe Kusini","Daya","28/09/2016",6,0,NA,"Wete_Mtambwe Kusini"
"Wete","Mtambwe Kusini","Kichungwani","20/09/2016",2,0,NA,"Wete_Mtambwe Kusini"
"Wete","Mtambwe Kusini","Kivumoni","20/09/2016",1,0,NA,"Wete_Mtambwe Kusini"
"Wete","Mtambwe Kusini","Mitambuuni","20/09/2016",4,0,NA,"Wete_Mtambwe Kusini"
"Wete","Mtambwe Kusini","Sengenya","28/09/2016",15,0,NA,"Wete_Mtambwe Kusini"
"Wete","Mzambarauni Takao","Mzambarau-Takao","19/09/2016",18,0,NA,"Wete_Mzambarauni Takao"
"Wete","Pandani","Pandani","20/09/2016",19,0,NA,"Wete_Pandani"
"Wete","Pembeni","Pembeni","21/09/2016",15,0,NA,"Wete_Pembeni"
"Wete","Piki","Piki","21/09/2016",38,0,NA,"Wete_Piki"
"Wete","Selem","Kitutia","21/09/2016",4,0,NA,"Wete_Selem"
"Wete","Shengejuu","Shengejuu","21/09/2016",8,0,NA,"Wete_Shengejuu"
"Wete","Ukunjwi","Mgogoni","22/09/2016",21,0,NA,"Wete_Ukunjwi"
"Wete","Ukunjwi","ukunjwi","22/09/2016",32,0,NA,"Wete_Ukunjwi"
"Wete","Utaani","Chasasa","21/09/2016",4,0,NA,"Wete_Utaani"
"Wete","Pandani","Jirambe","28/09/2016",3,0,NA,"Wete_Pandani"
"Wete","Pandani","Mlindongala","29/10/2016",22,0,NA,"Wete_Pandani"
"Chake Chake","Chanjaani","Chanjaani","14/09/2016",2,0,NA,"Chake Chake_Chanjaani"
"Chake Chake","Chanjaani","Matuleni","14/09/2016",6,1,NA,"Chake Chake_Chanjaani"
"Chake Chake","Chanjaani","Zaire","14/09/2016",7,1,NA,"Chake Chake_Chanjaani"
"Chake Chake","Chonga","Chanoni","19/09/2016",1,0,NA,"Chake Chake_Chonga"
"Chake Chake","Chonga","Kipapo","19/09/2016",2,0,NA,"Chake Chake_Chonga"
"Chake Chake","Dodo","Kitokame","15/09/2016",1,0,NA,"Chake Chake_Dodo"
"Chake Chake","Dodo","Mtamani","14/09/2016",8,1,NA,"Chake Chake_Dodo"
"Chake Chake","Kibokoni","Kibokoni","18/09/2016",3,0,NA,"Chake Chake_Kibokoni"
"Chake Chake","Kibokoni","Kisiwani","18/09/2016",2,0,NA,"Chake Chake_Kibokoni"
"Chake Chake","Kibokoni","Matungu","18/09/2016",10,1,NA,"Chake Chake_Kibokoni"
"Chake Chake","Kilindi","Kitundwini","19/09/2016",2,0,NA,"Chake Chake_Kilindi"
"Chake Chake","Kwale","M/ kwale","15/09/2016",1,0,NA,"Chake Chake_Kwale"
"Chake Chake","Madungu","B.taka","19/09/2016",2,0,NA,"Chake Chake_Madungu"
"Chake Chake","Madungu","Msingini","19/09/2016",6,1,NA,"Chake Chake_Madungu"
"Chake Chake","Matale","Chanjamjawiri","15/09/2016",2,0,NA,"Chake Chake_Matale"
