"Region","District","Ward","Village","Population","matchWard","DW","matchVillage","DWV"
"Kaskazini Pemba","Micheweni","Tumbe Magharibi","Nyikani",1479,"Tumbe Magharibi","Micheweni Tumbe Magharibi","Nyikani","Micheweni Tumbe Magharibi nyikani"
"Kaskazini Pemba","Micheweni","Tumbe Magharibi","Kibiriti",722,"Tumbe Magharibi","Micheweni Tumbe Magharibi","Kibiriti","Micheweni Tumbe Magharibi kibiriti"
"Kaskazini Pemba","Micheweni","Sizini","Chanjaani",1659,"Sizini","Micheweni Sizini","Chanjaani","Micheweni Sizini chanjaani"
"Kaskazini Pemba","Micheweni","Sizini","Sizini",3625,"Sizini","Micheweni Sizini","Sizini","Micheweni Sizini sizini"
"Kaskazini Pemba","Micheweni","Kinyasini","Kinyasini",2234,"Kinyasini","Micheweni Kinyasini","Kinyasini","Micheweni Kinyasini kinyasini"
"Kaskazini Pemba","Micheweni","Kinyasini","Taifu",954,"Kinyasini","Micheweni Kinyasini","Taifu","Micheweni Kinyasini taifu"
"Kaskazini Pemba","Micheweni","Mihogoni","Nyuma ya Mti",730,"Mihogoni","Micheweni Mihogoni","Nyuma ya Mti","Micheweni Mihogoni nyuma ya mti"
"Kaskazini Pemba","Micheweni","Mihogoni","Kikunguni",1419,"Mihogoni","Micheweni Mihogoni","Kikunguni","Micheweni Mihogoni kikunguni"
"Kaskazini Pemba","Micheweni","Mihogoni","Mihogoni",447,"Mihogoni","Micheweni Mihogoni","Mihogoni","Micheweni Mihogoni mihogoni"
"Kaskazini Pemba","Micheweni","Kifundi","Kifundi",1672,"Kifundi","Micheweni Kifundi","Kifundi","Micheweni Kifundi kifundi"
"Kaskazini Pemba","Micheweni","Kifundi","Kipangani",1124,"Kifundi","Micheweni Kifundi","Kipangani","Micheweni Kifundi kipangani"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Mbokoni",1308,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Mbokoni","Micheweni Maziwa Ng'ombe mbokoni"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Mbuyu Goe",370,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Mbuyu Goe","Micheweni Maziwa Ng'ombe mbuyu goe"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Kitonga",440,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Kitonga","Micheweni Maziwa Ng'ombe kitonga"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Mbuzini",845,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Mbuzini","Micheweni Maziwa Ng'ombe mbuzini"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Majenzi",1176,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Majenzi","Micheweni Maziwa Ng'ombe majenzi"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Kibagoni",1165,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Kibagoni","Micheweni Maziwa Ng'ombe kibagoni"
"Kaskazini Pemba","Micheweni","Maziwa Ng'ombe","Rahaleo",516,"Maziwa Ng'ombe","Micheweni Maziwa Ng'ombe","Rahaleo","Micheweni Maziwa Ng'ombe rahaleo"
"Kaskazini Pemba","Micheweni","Tondooni","Makangale",985,"Tondooni","Micheweni Tondooni","Makangale","Micheweni Tondooni makangale"
"Kaskazini Pemba","Micheweni","Tondooni","Tondooni",928,"Tondooni","Micheweni Tondooni","Tondooni","Micheweni Tondooni tondooni"
"Kaskazini Pemba","Micheweni","Tondooni","Mkia wa Ng'ombe",792,"Tondooni","Micheweni Tondooni","Mkia wa Ng'ombe","Micheweni Tondooni mkia wa ng'ombe"
"Kaskazini Pemba","Micheweni","Mtemani","Chokaningayo",834,"Mtemani","Micheweni Mtemani","Chokaningayo","Micheweni Mtemani chokaningayo"
"Kaskazini Pemba","Micheweni","Mtemani","Mtemani",1307,"Mtemani","Micheweni Mtemani","Mtemani","Micheweni Mtemani mtemani"
"Kaskazini Pemba","Micheweni","Mtemani","Njuguni",876,"Mtemani","Micheweni Mtemani","Njuguni","Micheweni Mtemani njuguni"
"Kaskazini Pemba","Micheweni","Wingwi Mjananza","Kidutani",790,"Wingwi Mjananza","Micheweni Wingwi Mjananza","Kidutani","Micheweni Wingwi Mjananza kidutani"
"Kaskazini Pemba","Micheweni","Wingwi Mjananza","Mjanaza",912,"Wingwi Mjananza","Micheweni Wingwi Mjananza","Mjananza","Micheweni Wingwi Mjananza mjananza"
"Kaskazini Pemba","Micheweni","Mlindo","Makomeni",478,"Mlindo","Micheweni Mlindo","Makomeni","Micheweni Mlindo makomeni"
"Kaskazini Pemba","Micheweni","Mlindo","Mtakao",965,"Mlindo","Micheweni Mlindo","Mtakao","Micheweni Mlindo mtakao"
"Kaskazini Pemba","Micheweni","Mlindo","Mlindo",653,"Mlindo","Micheweni Mlindo","Mlindo","Micheweni Mlindo mlindo"
"Kusini Pemba","Chake Chake","Chanjaani","Vijijini",1124,"Chanjaani","Chake Chake Chanjaani","Vijijini","Chake Chake Chanjaani vijijini"
"Kusini Pemba","Chake Chake","Chanjaani","Mwembe Togwa",1733,"Chanjaani","Chake Chake Chanjaani","Muembe Togwa","Chake Chake Chanjaani muembe togwa"
"Kusini Pemba","Chake Chake","Chanjaani","Zaire",454,"Chanjaani","Chake Chake Chanjaani","Zaire","Chake Chake Chanjaani zaire"
"Kusini Pemba","Chake Chake","Wawi","Mji wa Chini",931,"Wawi","Chake Chake Wawi","Mji wa Chini","Chake Chake Wawi mji wa chini"
"Kusini Pemba","Chake Chake","Wawi","Wawi",3927,"Wawi","Chake Chake Wawi","Wawi","Chake Chake Wawi wawi"
"Kusini Pemba","Chake Chake","Wawi","Fidel Castro",757,"Wawi","Chake Chake Wawi","Fidel Castro","Chake Chake Wawi fidel castro"
"Kusini Pemba","Chake Chake","Pujini","Mtimbu",1369,"Pujini","Chake Chake Pujini","Mtimbu","Chake Chake Pujini mtimbu"
"Kusini Pemba","Chake Chake","Pujini","Pujini",1698,"Pujini","Chake Chake Pujini","Pujini","Chake Chake Pujini pujini"
"Kusini Pemba","Chake Chake","Pujini","Tondooni",999,"Pujini","Chake Chake Pujini","Tondooni","Chake Chake Pujini tondooni"
"Kusini Pemba","Chake Chake","Ziwani","Ziwani",2583,"Ziwani","Chake Chake Ziwani","Ziwani","Chake Chake Ziwani ziwani"
"Kusini Pemba","Chake Chake","Ziwani","Mchanga wa Kwale",778,"Ziwani","Chake Chake Ziwani","Mchanga wa Kwale","Chake Chake Ziwani mchanga wa kwale"
"Kusini Pemba","Chake Chake","Ziwani","Pembeni",662,"Ziwani","Chake Chake Ziwani","Pembeni","Chake Chake Ziwani pembeni"
"Kusini Pemba","Chake Chake","Ndagoni","Kichanjaani",791,"Ndagoni","Chake Chake Ndagoni","Kichanjaani","Chake Chake Ndagoni kichanjaani"
"Kusini Pemba","Chake Chake","Ndagoni","Jamvini",735,"Ndagoni","Chake Chake Ndagoni","Jamvini","Chake Chake Ndagoni jamvini"
"Kusini Pemba","Chake Chake","Ndagoni","Ndagoni",1296,"Ndagoni","Chake Chake Ndagoni","Ndagoni","Chake Chake Ndagoni ndagoni"
"Kusini Pemba","Chake Chake","Ndagoni","Buyuni",1083,"Ndagoni","Chake Chake Ndagoni","Buyuni","Chake Chake Ndagoni buyuni"
"Kusini Pemba","Chake Chake","Kwale","Semewani",534,"Kwale","Chake Chake Kwale","Semewani","Chake Chake Kwale semewani"
"Kusini Pemba","Chake Chake","Kwale","Nyapi",861,"Kwale","Chake Chake Kwale","Nyapi","Chake Chake Kwale nyapi"
"Kusini Pemba","Chake Chake","Kwale","Miburani",1619,"Kwale","Chake Chake Kwale","Miburani","Chake Chake Kwale miburani"
"Kusini Pemba","Chake Chake","Kwale","Kwale",766,"Kwale","Chake Chake Kwale","Kwale","Chake Chake Kwale kwale"
"Kusini Pemba","Chake Chake","Vitongoji","Changuo",1491,"Vitongoji","Chake Chake Vitongoji","Changuo","Chake Chake Vitongoji changuo"
"Kusini Pemba","Chake Chake","Vitongoji","Vumba",784,"Vitongoji","Chake Chake Vitongoji","Vumba","Chake Chake Vitongoji vumba"
"Kusini Pemba","Chake Chake","Vitongoji","Vikutani",2027,"Vitongoji","Chake Chake Vitongoji","Vikutani","Chake Chake Vitongoji vikutani"
"Kusini Pemba","Chake Chake","Vitongoji","Darajani",216,"Vitongoji","Chake Chake Vitongoji","Darajani","Chake Chake Vitongoji darajani"
"Kusini Pemba","Chake Chake","Ng'ambwa","Gombani",3706,"Ng'ambwa","Chake Chake Ng'ambwa","Gombani","Chake Chake Ng'ambwa gombani"
"Kusini Pemba","Chake Chake","Ng'ambwa","Ng'ambwa",351,"Ng'ambwa","Chake Chake Ng'ambwa","Ng'ambwa","Chake Chake Ng'ambwa ng'ambwa"
"Kusini Pemba","Chake Chake","Ng'ambwa","Vikunguni",2076,"Ng'ambwa","Chake Chake Ng'ambwa","Vikunguni","Chake Chake Ng'ambwa vikunguni"
"Kusini Pemba","Chake Chake","Shungi","Chanjamjawiri",1455,"Shungi","Chake Chake Shungi","Chanjamjawiri","Chake Chake Shungi chanjamjawiri"
"Kusini Pemba","Chake Chake","Shungi","Shungi",1033,"Shungi","Chake Chake Shungi","Shungi","Chake Chake Shungi shungi"
"Kusini Pemba","Chake Chake","Chonga","Njia ya Kidongo",1260,"Chonga","Chake Chake Chonga","Njia ya Kidongo","Chake Chake Chonga njia ya kidongo"
"Kusini Pemba","Chake Chake","Chonga","Chonga",1374,"Chonga","Chake Chake Chonga","Chonga","Chake Chake Chonga chonga"
"Kusini Pemba","Chake Chake","Chonga","Tondooni",685,"Chonga","Chake Chake Chonga","Tondooni","Chake Chake Chonga tondooni"
"Kusini Pemba","Chake Chake","Mgelema","Mgelema",857,"Mgelema","Chake Chake Mgelema","Mgelema","Chake Chake Mgelema mgelema"
"Kusini Pemba","Chake Chake","Mgelema","Ngomeni",393,"Mgelema","Chake Chake Mgelema","Ngomeni","Chake Chake Mgelema ngomeni"
"Kusini Pemba","Chake Chake","Kilindi","Tundaua",1002,"Kilindi","Chake Chake Kilindi","Tundaua","Chake Chake Kilindi tundaua"
"Kusini Pemba","Chake Chake","Kilindi","Utaani",333,"Kilindi","Chake Chake Kilindi","Utaani","Chake Chake Kilindi utaani"
"Kusini Pemba","Chake Chake","Kilindi","Papani",472,"Kilindi","Chake Chake Kilindi","Papani","Chake Chake Kilindi papani"
"Kusini Pemba","Chake Chake","Kilindi","Tuwatugawe",638,"Kilindi","Chake Chake Kilindi","Tuwatugawe","Chake Chake Kilindi tuwatugawe"
"Kusini Pemba","Chake Chake","Kilindi","Banaani",798,"Kilindi","Chake Chake Kilindi","Banani","Chake Chake Kilindi banani"
"Kusini Pemba","Chake Chake","Kilindi","Kungeni",705,"Kilindi","Chake Chake Kilindi","Kungeni","Chake Chake Kilindi kungeni"
"Kusini Pemba","Chake Chake","Tibirinzi","Pondeani",1602,"Tibirinzi","Chake Chake Tibirinzi","Pondeani","Chake Chake Tibirinzi pondeani"
"Kusini Pemba","Chake Chake","Tibirinzi","Tibirinzi",908,"Tibirinzi","Chake Chake Tibirinzi","Tibirinzi","Chake Chake Tibirinzi tibirinzi"
"Kusini Pemba","Chake Chake","Tibirinzi","Muharitani",1531,"Tibirinzi","Chake Chake Tibirinzi","Muharitani","Chake Chake Tibirinzi muharitani"
"Kusini Pemba","Chake Chake","Chachani","Chachani",974,"Chachani","Chake Chake Chachani","Chachani","Chake Chake Chachani chachani"
"Kusini Pemba","Chake Chake","Wara","Ujinga",1473,"Wara","Chake Chake Wara","Ujinga","Chake Chake Wara ujinga"
"Kusini Pemba","Chake Chake","Wara","Wara",1257,"Wara","Chake Chake Wara","Wara","Chake Chake Wara wara"
"Kusini Pemba","Chake Chake","Wara","Machomane",1200,"Wara","Chake Chake Wara","Machomanne","Chake Chake Wara machomanne"
"Kusini Pemba","Chake Chake","Mvumoni","Mvumoni",1176,"Mvumoni","Chake Chake Mvumoni","Mvumoni","Chake Chake Mvumoni mvumoni"
"Kusini Pemba","Chake Chake","Mvumoni","Furaha",1287,"Mvumoni","Chake Chake Mvumoni","Furaha","Chake Chake Mvumoni furaha"
"Kusini Pemba","Chake Chake","Matale","Limani",757,"Matale","Chake Chake Matale","Limani","Chake Chake Matale limani"
"Kusini Pemba","Chake Chake","Matale","Muembe Karata",2124,"Matale","Chake Chake Matale","Muembe Karata","Chake Chake Matale muembe karata"
"Kusini Pemba","Chake Chake","Matale","Chanjamjawiri",1031,"Matale","Chake Chake Matale","Chanjamjawiri","Chake Chake Matale chanjamjawiri"
"Kusini Pemba","Chake Chake","Wesha","Tondooni",1051,"Wesha","Chake Chake Wesha","Tondooni","Chake Chake Wesha tondooni"
"Kusini Pemba","Chake Chake","Wesha","Kijangwani",1639,"Wesha","Chake Chake Wesha","Kijangwani","Chake Chake Wesha kijangwani"
"Kusini Pemba","Chake Chake","Wesha","Wesha",1203,"Wesha","Chake Chake Wesha","Wesha","Chake Chake Wesha wesha"
"Kusini Pemba","Chake Chake","Uwandani","Uwandani",1768,"Uwandani","Chake Chake Uwandani","Uwandani","Chake Chake Uwandani uwandani"
"Kusini Pemba","Chake Chake","Uwandani","Makaani",195,"Uwandani","Chake Chake Uwandani","Makaani","Chake Chake Uwandani makaani"
"Kusini Pemba","Chake Chake","Uwandani","Mjanaza",668,"Uwandani","Chake Chake Uwandani","Mjanaza","Chake Chake Uwandani mjanaza"
"Kusini Pemba","Chake Chake","Madungu","Mtoni",669,"Madungu","Chake Chake Madungu","Mtoni","Chake Chake Madungu mtoni"
"Kusini Pemba","Chake Chake","Madungu","Shamiani",1212,"Madungu","Chake Chake Madungu","Shamiani","Chake Chake Madungu shamiani"
"Kusini Pemba","Chake Chake","Madungu","Fueni",1205,"Madungu","Chake Chake Madungu","Fueni","Chake Chake Madungu fueni"
"Kusini Pemba","Chake Chake","Madungu","Madungu",807,"Madungu","Chake Chake Madungu","Madungu","Chake Chake Madungu madungu"
"Kusini Pemba","Chake Chake","Madungu","Gongo Mawe",358,"Madungu","Chake Chake Madungu","Gongo Mawe","Chake Chake Madungu gongo mawe"
"Kusini Pemba","Chake Chake","Mgogoni","Kichangani",796,"Mgogoni","Chake Chake Mgogoni","Kichangani","Chake Chake Mgogoni kichangani"
"Kusini Pemba","Chake Chake","Mgogoni","Ditia",745,"Mgogoni","Chake Chake Mgogoni","Ditia","Chake Chake Mgogoni ditia"
"Kusini Pemba","Chake Chake","Mgogoni","Mgogoni",1057,"Mgogoni","Chake Chake Mgogoni","Mgogoni","Chake Chake Mgogoni mgogoni"
"Kusini Pemba","Chake Chake","Dodo","Mitamani",517,"Dodo","Chake Chake Dodo","Miatamani","Chake Chake Dodo miatamani"
"Kusini Pemba","Chake Chake","Dodo","Dodo",1377,"Dodo","Chake Chake Dodo","Dodo","Chake Chake Dodo dodo"
"Kusini Pemba","Chake Chake","Dodo","Mbuni",281,"Dodo","Chake Chake Dodo","Mbuni","Chake Chake Dodo mbuni"
"Kusini Pemba","Chake Chake","Dodo","Kibaridi",1198,"Dodo","Chake Chake Dodo","Kibaridi","Chake Chake Dodo kibaridi"
"Kusini Pemba","Chake Chake","Dodo","Kichanjaani",896,"Dodo","Chake Chake Dodo","Kichanjaani","Chake Chake Dodo kichanjaani"
"Kusini Pemba","Chake Chake","Mbuzini","Mbuzini",2084,"Mbuzini","Chake Chake Mbuzini","Mbuzini","Chake Chake Mbuzini mbuzini"
"Kusini Pemba","Chake Chake","Mbuzini","Mavungwa",835,"Mbuzini","Chake Chake Mbuzini","Mavungwa","Chake Chake Mbuzini mavungwa"
"Kusini Pemba","Chake Chake","Michungwani","Kukuchuni",571,"Michungwani","Chake Chake Michungwani","Kukuchuni","Chake Chake Michungwani kukuchuni"
"Kusini Pemba","Chake Chake","Michungwani","Michungwani",842,"Michungwani","Chake Chake Michungwani","Michungwani","Chake Chake Michungwani michungwani"
"Kusini Pemba","Chake Chake","Michungwani","Tumbatu",361,"Michungwani","Chake Chake Michungwani","Tumbatu","Chake Chake Michungwani tumbatu"
"Kusini Pemba","Chake Chake","Michungwani","Birikau",683,"Michungwani","Chake Chake Michungwani","Birikau","Chake Chake Michungwani birikau"
"Kusini Pemba","Chake Chake","Kibokoni","Umangani",807,"Kibokoni","Chake Chake Kibokoni","Umangani","Chake Chake Kibokoni umangani"
"Kusini Pemba","Chake Chake","Kibokoni","Kibokoni",1777,"Kibokoni","Chake Chake Kibokoni","Kibokoni","Chake Chake Kibokoni kibokoni"
"Kusini Pemba","Chake Chake","Kichungwani","Mkungu Malofa",747,"Kichungwani","Chake Chake Kichungwani","Mkungu Malofa","Chake Chake Kichungwani mkungu malofa"
"Kusini Pemba","Chake Chake","Kichungwani","Raha Leo",559,"Kichungwani","Chake Chake Kichungwani","Rahaleo","Chake Chake Kichungwani rahaleo"
"Kusini Pemba","Chake Chake","Kichungwani","Miembeni",452,"Kichungwani","Chake Chake Kichungwani","Miembeni","Chake Chake Kichungwani miembeni"
"Kusini Pemba","Chake Chake","Kichungwani","Kichungwani",400,"Kichungwani","Chake Chake Kichungwani","Kichungwani","Chake Chake Kichungwani kichungwani"
"Kusini Pemba","Chake Chake","Msingini","Michakaini",881,"Msingini","Chake Chake Msingini","Michakaini","Chake Chake Msingini michakaini"
"Kusini Pemba","Chake Chake","Msingini","Msingini",751,"Msingini","Chake Chake Msingini","Msingini","Chake Chake Msingini msingini"
"Kusini Pemba","Chake Chake","Msingini","Mtoni",673,"Msingini","Chake Chake Msingini","Mtoni","Chake Chake Msingini mtoni"
"Kusini Pemba","Chake Chake","Mkoroshoni","Mkoroshoni",1546,"Mkoroshoni","Chake Chake Mkoroshoni","Mkoroshoni","Chake Chake Mkoroshoni mkoroshoni"
"Kusini Pemba","Chake Chake","Mkoroshoni","Mkanjuni",1512,"Mkoroshoni","Chake Chake Mkoroshoni","Mkanjuni","Chake Chake Mkoroshoni mkanjuni"
"Kusini Pemba","Chake Chake","Mkoroshoni","Ndugu Kitu",415,"Mkoroshoni","Chake Chake Mkoroshoni","Ndugu Kitu","Chake Chake Mkoroshoni ndugu kitu"
"Kusini Pemba","Chake Chake","Mfikiwa","Mfikiwa",1395,"Mfikiwa","Chake Chake Mfikiwa","Mfikiwa","Chake Chake Mfikiwa mfikiwa"
"Kusini Pemba","Chake Chake","Mfikiwa","Kilimahodi",641,"Mfikiwa","Chake Chake Mfikiwa","Kilimahodi","Chake Chake Mfikiwa kilimahodi"
"Kusini Pemba","Mkoani","Ng'ombeni","Jondeni",1074,"Ng'ombeni","Mkoani Ng'ombeni","Jondeni","Mkoani Ng'ombeni jondeni"
"Kusini Pemba","Mkoani","Ng'ombeni","Kinyasini",566,"Ng'ombeni","Mkoani Ng'ombeni","Kinyasini","Mkoani Ng'ombeni kinyasini"
"Kusini Pemba","Mkoani","Ng'ombeni","Mfenesi Mazizi",701,"Ng'ombeni","Mkoani Ng'ombeni","Mfenesi Mazizi","Mkoani Ng'ombeni mfenesi mazizi"
"Kusini Pemba","Mkoani","Ng'ombeni","Msingini",818,"Ng'ombeni","Mkoani Ng'ombeni","Msingini","Mkoani Ng'ombeni msingini"
"Kusini Pemba","Mkoani","Makombeni","Eneani",1399,"Makombeni","Mkoani Makombeni","Eneani","Mkoani Makombeni eneani"
"Kusini Pemba","Mkoani","Makombeni","Katumeni",447,"Makombeni","Mkoani Makombeni","Katumeni","Mkoani Makombeni katumeni"
"Kusini Pemba","Mkoani","Makombeni","Kinyasini",844,"Makoongwe","Mkoani Makoongwe","Kinyasini","Mkoani Makoongwe kinyasini"
"Kusini Pemba","Mkoani","Makombeni","Kizambarauni",570,"Makoongwe","Mkoani Makoongwe","Kizambarauni","Mkoani Makoongwe kizambarauni"
"Kusini Pemba","Mkoani","Makombeni","Matumbini Kubwa",38,"Makoongwe","Mkoani Makoongwe","Matumbini Kubwa","Mkoani Makoongwe matumbini kubwa"
"Kusini Pemba","Mkoani","Shidi","Mwambani",420,"Shidi","Mkoani Shidi","Mwambani","Mkoani Shidi mwambani"
"Kusini Pemba","Mkoani","Shidi","Shidi",562,"Shidi","Mkoani Shidi","Shidi","Mkoani Shidi shidi"
"Kusini Pemba","Mkoani","Mkanyageni","Ngomani",423,"Mkanyageni","Mkoani Mkanyageni","Ngomani","Mkoani Mkanyageni ngomani"
"Kusini Pemba","Mkoani","Mkanyageni","Mkanyageni",1911,"Mkanyageni","Mkoani Mkanyageni","Mkanyageni","Mkoani Mkanyageni mkanyageni"
"Kusini Pemba","Mkoani","Mkanyageni","Tasini",328,"Mkanyageni","Mkoani Mkanyageni","Tasini","Mkoani Mkanyageni tasini"
"Kusini Pemba","Mkoani","Mkanyageni","Bogoa",507,"Mkanyageni","Mkoani Mkanyageni","Bogoa","Mkoani Mkanyageni bogoa"
"Kusini Pemba","Mkoani","Michenzani","Mchengele",1735,"Michenzani","Mkoani Michenzani","Mchengele","Mkoani Michenzani mchengele"
"Kusini Pemba","Mkoani","Michenzani","Michenzani",1197,"Michenzani","Mkoani Michenzani","Michenzani","Mkoani Michenzani michenzani"
"Kusini Pemba","Mkoani","Chokocho","Ulenge",1492,"Chokocho","Mkoani Chokocho","Ulenge","Mkoani Chokocho ulenge"
"Kusini Pemba","Mkoani","Chokocho","Mlimuni",840,"Chokocho","Mkoani Chokocho","Mlimuni","Mkoani Chokocho mlimuni"
"Kusini Pemba","Mkoani","Chokocho","Chamboni",1401,"Chokocho","Mkoani Chokocho","Chamboni","Mkoani Chokocho chamboni"
"Kusini Pemba","Mkoani","Chokocho","Chokocho",806,"Chokocho","Mkoani Chokocho","Chokocho","Mkoani Chokocho chokocho"
"Kusini Pemba","Mkoani","Kisiwa Panza","Mitondooni",1383,"Kisiwa Panza","Mkoani Kisiwa Panza","Mitondooni","Mkoani Kisiwa Panza mitondooni"
"Kusini Pemba","Mkoani","Kisiwa Panza","Panza",1704,"Kisiwa Panza","Mkoani Kisiwa Panza","Panza","Mkoani Kisiwa Panza panza"
"Kusini Pemba","Mkoani","Kangani","Shukeni",1343,"Kangani","Mkoani Kangani","Shukeni","Mkoani Kangani shukeni"
"Kusini Pemba","Mkoani","Kangani","Msumbiji",261,"Kangani","Mkoani Kangani","Msumbiji","Mkoani Kangani msumbiji"
"Kusini Pemba","Mkoani","Kangani","Msijeni",567,"Kangani","Mkoani Kangani","Msijeni","Mkoani Kangani msijeni"
"Kusini Pemba","Mkoani","Kangani","Sokoni",1824,"Kangani","Mkoani Kangani","Sokoni","Mkoani Kangani sokoni"
"Kusini Pemba","Mkoani","Kengeja","Mjiweni",1317,"Kengeja","Mkoani Kengeja","Mjiweni","Mkoani Kengeja mjiweni"
"Kusini Pemba","Mkoani","Kengeja","Kaani",1343,"Kengeja","Mkoani Kengeja","Kaani","Mkoani Kengeja kaani"
"Kusini Pemba","Mkoani","Kengeja","Mwakunguu",440,"Kengeja","Mkoani Kengeja","Mwakunguu","Mkoani Kengeja mwakunguu"
"Kusini Pemba","Mkoani","Kengeja","Chole",925,"Kengeja","Mkoani Kengeja","Chole","Mkoani Kengeja chole"
"Kusini Pemba","Mkoani","Kengeja","Kidutani",873,"Kengeja","Mkoani Kengeja","Kidutani","Mkoani Kengeja kidutani"
"Kusini Pemba","Mkoani","Kengeja","Jomvu",1338,"Kengeja","Mkoani Kengeja","Jomvu","Mkoani Kengeja jomvu"
"Kusini Pemba","Mkoani","Kengeja","Sokoni",731,"Kengeja","Mkoani Kengeja","Sokoni","Mkoani Kengeja sokoni"
"Kusini Pemba","Mkoani","Muambe","Mchakwe",1221,"Muambe","Mkoani Muambe","Mchakwe","Mkoani Muambe mchakwe"
"Kusini Pemba","Mkoani","Muambe","Chaleni",2520,"Muambe","Mkoani Muambe","Chaleni","Mkoani Muambe chaleni"
"Kusini Pemba","Mkoani","Muambe","Bwegeza",1910,"Muambe","Mkoani Muambe","Bwegeza","Mkoani Muambe bwegeza"
"Kusini Pemba","Mkoani","Muambe","Chaleni Kusini",1012,"Muambe","Mkoani Muambe","Chaleni Kusini","Mkoani Muambe chaleni kusini"
"Kusini Pemba","Mkoani","Kiwani","Kiwani",2329,"Kiwani","Mkoani Kiwani","Kiwani","Mkoani Kiwani kiwani"
"Kusini Pemba","Mkoani","Kiwani","Michakweni",697,"Kiwani","Mkoani Kiwani","Michakweni","Mkoani Kiwani michakweni"
"Kusini Pemba","Mkoani","Mtambile","Kigope",456,"Mtambile","Mkoani Mtambile","Kigope","Mkoani Mtambile kigope"
"Kusini Pemba","Mkoani","Mtambile","Jaani",311,"Mtambile","Mkoani Mtambile","Jaani","Mkoani Mtambile jaani"
"Kusini Pemba","Mkoani","Mtambile","Jonza",887,"Mtambile","Mkoani Mtambile","Jonza","Mkoani Mtambile jonza"
"Kusini Pemba","Mkoani","Mtambile","Mtakakaa",1130,"Mtambile","Mkoani Mtambile","Mtakakaa","Mkoani Mtambile mtakakaa"
"Kusini Pemba","Mkoani","Mtambile","Sokoni",1122,"Mtambile","Mkoani Mtambile","Sokoni","Mkoani Mtambile sokoni"
"Kusini Pemba","Mkoani","Mtambile","Muwanda",438,"Mtambile","Mkoani Mtambile","Muwanda","Mkoani Mtambile muwanda"
"Kusini Pemba","Mkoani","Mtambile","Kichunjuu",546,"Mtambile","Mkoani Mtambile","Kichunjuu","Mkoani Mtambile kichunjuu"
"Kusini Pemba","Mkoani","Mizingani","Jambangome",892,"Mizingani","Mkoani Mizingani","Jambangome","Mkoani Mizingani jambangome"
"Kusini Pemba","Mkoani","Mizingani","Mizingani",736,"Mizingani","Mkoani Mizingani","Mizingani","Mkoani Mizingani mizingani"
"Kusini Pemba","Mkoani","Ngwachani","Mkungu",767,"Ngwachani","Mkoani Ngwachani","Mkungu","Mkoani Ngwachani mkungu"
"Kusini Pemba","Mkoani","Ngwachani","Tangaani",372,"Ngwachani","Mkoani Ngwachani","Tangaani","Mkoani Ngwachani tangaani"
"Kusini Pemba","Mkoani","Ngwachani","Maweni",752,"Ngwachani","Mkoani Ngwachani","Maweni","Mkoani Ngwachani maweni"
"Kusini Pemba","Mkoani","Ngwachani","Ngwachani",882,"Ngwachani","Mkoani Ngwachani","Ngwachani","Mkoani Ngwachani ngwachani"
"Kusini Pemba","Mkoani","Ngwachani","Kuyuni",338,"Ngwachani","Mkoani Ngwachani","Kuyuni","Mkoani Ngwachani kuyuni"
"Kusini Pemba","Mkoani","Chambani","Mapape",982,"Chambani","Mkoani Chambani","Mapape","Mkoani Chambani mapape"
"Kusini Pemba","Mkoani","Chambani","Chaka la Kati",733,"Chambani","Mkoani Chambani","Chaka la Kati","Mkoani Chambani chaka la kati"
"Kusini Pemba","Mkoani","Chambani","Matele",1334,"Chambani","Mkoani Chambani","Matele","Mkoani Chambani matele"
"Kusini Pemba","Mkoani","Chambani","Kekewani",1571,"Chambani","Mkoani Chambani","Kekewani","Mkoani Chambani kekewani"
"Kusini Pemba","Mkoani","Chambani","Tondooni",505,"Chambani","Mkoani Chambani","Tondooni","Mkoani Chambani tondooni"
"Kusini Pemba","Mkoani","Chambani","Tumbini",969,"Chambani","Mkoani Chambani","Tumbini","Mkoani Chambani tumbini"
"Kusini Pemba","Mkoani","Wambaa","Kwa Azani",1551,"Wambaa","Mkoani Wambaa","Kwa Azani","Mkoani Wambaa kwa azani"
"Kusini Pemba","Mkoani","Wambaa","Wambaa",693,"Wambaa","Mkoani Wambaa","Wambaa","Mkoani Wambaa wambaa"
"Kusini Pemba","Mkoani","Wambaa","Mialeni",306,"Wambaa","Mkoani Wambaa","Mialeni","Mkoani Wambaa mialeni"
"Kusini Pemba","Mkoani","Wambaa","Msiakwe",374,"Wambaa","Mkoani Wambaa","Msiakwe","Mkoani Wambaa msiakwe"
